,dt,exchangetimestamp,product,openinterest,clearedvolume
0,2017-01-01,2017-01-01 16:06:49.089000000 America/New_York,ESH7,2785091,1281987
1,2017-01-01,2017-01-01 16:06:49.093000000 America/New_York,ESM7,10934,1702
2,2017-01-01,2017-01-01 16:06:49.096000000 America/New_York,ESU7,181,26
3,2017-01-01,2017-01-01 16:06:49.099000000 America/New_York,ESZ7,72,3
4,2017-01-03,2017-01-03 02:06:57.498000000 America/New_York,ESH7,2785082,0
5,2017-01-03,2017-01-03 02:06:57.502000000 America/New_York,ESM7,10933,0
6,2017-01-03,2017-01-03 02:06:57.505000000 America/New_York,ESU7,181,0
7,2017-01-03,2017-01-03 02:06:57.509000000 America/New_York,ESZ7,72,0
8,2017-01-03,2017-01-03 07:51:55.093000000 America/New_York,ESH7,2785082,0
9,2017-01-03,2017-01-03 07:51:55.096000000 America/New_York,ESM7,10933,0
10,2017-01-03,2017-01-03 07:51:55.099000000 America/New_York,ESU7,181,0
11,2017-01-03,2017-01-03 07:51:55.103000000 America/New_York,ESZ7,72,0
12,2017-01-03,2017-01-03 09:50:17.538000000 America/New_York,ESH7,2787056,1281987
13,2017-01-03,2017-01-03 09:50:17.541000000 America/New_York,ESM7,10946,1702
14,2017-01-03,2017-01-03 09:50:17.545000000 America/New_York,ESU7,181,26
15,2017-01-03,2017-01-03 09:50:17.549000000 America/New_York,ESZ7,72,3
16,2017-01-04,2017-01-04 02:07:02.847000000 America/New_York,ESH7,2802156,1810351
17,2017-01-04,2017-01-04 02:07:02.853000000 America/New_York,ESM7,12212,2292
18,2017-01-04,2017-01-04 02:07:02.855000000 America/New_York,ESU7,157,58
19,2017-01-04,2017-01-04 02:07:02.858000000 America/New_York,ESZ7,72,0
20,2017-01-04,2017-01-04 07:51:39.887000000 America/New_York,ESH7,2802156,1810351
21,2017-01-04,2017-01-04 07:51:39.890000000 America/New_York,ESM7,12212,2292
22,2017-01-04,2017-01-04 07:51:39.893000000 America/New_York,ESU7,157,58
23,2017-01-04,2017-01-04 07:51:39.896000000 America/New_York,ESZ7,72,0
24,2017-01-04,2017-01-04 09:48:11.439000000 America/New_York,ESH7,2799661,1810351
25,2017-01-04,2017-01-04 09:48:11.442000000 America/New_York,ESM7,12196,2292
26,2017-01-04,2017-01-04 09:48:11.446000000 America/New_York,ESU7,157,58
27,2017-01-04,2017-01-04 09:48:11.449000000 America/New_York,ESZ7,72,0
28,2017-01-05,2017-01-05 02:06:43.379000000 America/New_York,ESH7,2805232,1404875
29,2017-01-05,2017-01-05 02:06:43.382000000 America/New_York,ESM7,14014,3076
30,2017-01-05,2017-01-05 02:06:43.385000000 America/New_York,ESU7,162,16
31,2017-01-05,2017-01-05 02:06:43.389000000 America/New_York,ESZ7,71,1
32,2017-01-05,2017-01-05 07:51:48.531000000 America/New_York,ESH7,2805232,1404875
33,2017-01-05,2017-01-05 07:51:48.534000000 America/New_York,ESM7,14014,3076
34,2017-01-05,2017-01-05 07:51:48.538000000 America/New_York,ESU7,162,16
35,2017-01-05,2017-01-05 07:51:48.541000000 America/New_York,ESZ7,71,1
36,2017-01-05,2017-01-05 09:49:58.981000000 America/New_York,ESH7,2804829,1404875
37,2017-01-05,2017-01-05 09:49:58.985000000 America/New_York,ESM7,14014,3076
38,2017-01-05,2017-01-05 09:49:58.989000000 America/New_York,ESU7,162,16
39,2017-01-05,2017-01-05 09:49:58.992000000 America/New_York,ESZ7,71,1
40,2017-01-06,2017-01-06 02:06:54.745000000 America/New_York,ESH7,2809135,1324035
41,2017-01-06,2017-01-06 02:06:54.753000000 America/New_York,ESM7,17296,6209
42,2017-01-06,2017-01-06 02:06:54.758000000 America/New_York,ESU7,141,53
43,2017-01-06,2017-01-06 02:06:54.760000000 America/New_York,ESZ7,71,2
44,2017-01-06,2017-01-06 07:51:50.120000000 America/New_York,ESH7,2809135,1324035
45,2017-01-06,2017-01-06 07:51:50.123000000 America/New_York,ESM7,17296,6209
46,2017-01-06,2017-01-06 07:51:50.127000000 America/New_York,ESU7,141,53
47,2017-01-06,2017-01-06 07:51:50.130000000 America/New_York,ESZ7,71,2
48,2017-01-06,2017-01-06 09:49:50.702000000 America/New_York,ESH7,2807328,1324035
49,2017-01-06,2017-01-06 09:49:50.705000000 America/New_York,ESM7,17296,6209
50,2017-01-06,2017-01-06 09:49:50.709000000 America/New_York,ESU7,141,53
51,2017-01-06,2017-01-06 09:49:50.713000000 America/New_York,ESZ7,71,2
52,2017-01-08,2017-01-08 16:06:47.005000000 America/New_York,ESH8,1,1
53,2017-01-09,2017-01-09 02:06:49.236000000 America/New_York,ESH8,1,1
54,2017-01-09,2017-01-09 07:51:53.615000000 America/New_York,ESH8,1,1
55,2017-01-09,2017-01-09 09:47:13.500000000 America/New_York,ESH8,1,1
56,2017-01-10,2017-01-10 02:06:50.933000000 America/New_York,ESH7,2814143,1025182
57,2017-01-10,2017-01-10 02:06:50.936000000 America/New_York,ESM7,17389,1074
58,2017-01-10,2017-01-10 02:06:50.940000000 America/New_York,ESU7,147,6
59,2017-01-10,2017-01-10 02:06:50.943000000 America/New_York,ESZ7,70,1
60,2017-01-10,2017-01-10 02:06:50.947000000 America/New_York,ESH8,1,0
61,2017-01-10,2017-01-10 07:51:58.033000000 America/New_York,ESH7,2814143,1025182
62,2017-01-10,2017-01-10 07:51:58.036000000 America/New_York,ESM7,17389,1074
63,2017-01-10,2017-01-10 07:51:58.039000000 America/New_York,ESU7,147,6
64,2017-01-10,2017-01-10 07:51:58.043000000 America/New_York,ESZ7,70,1
65,2017-01-10,2017-01-10 07:51:58.046000000 America/New_York,ESH8,1,0
66,2017-01-10,2017-01-10 09:48:45.307000000 America/New_York,ESH7,2814013,1025182
67,2017-01-10,2017-01-10 09:48:45.311000000 America/New_York,ESM7,17388,1074
68,2017-01-10,2017-01-10 09:48:45.314000000 America/New_York,ESU7,147,6
69,2017-01-10,2017-01-10 09:48:45.317000000 America/New_York,ESZ7,70,1
70,2017-01-10,2017-01-10 09:48:45.321000000 America/New_York,ESH8,1,0
71,2017-01-11,2017-01-11 02:06:54.134000000 America/New_York,ESH7,2814257,1304523
72,2017-01-11,2017-01-11 02:06:54.137000000 America/New_York,ESM7,17707,1182
73,2017-01-11,2017-01-11 02:06:54.140000000 America/New_York,ESU7,148,10
74,2017-01-11,2017-01-11 02:06:54.144000000 America/New_York,ESZ7,71,1
75,2017-01-11,2017-01-11 02:06:54.147000000 America/New_York,ESH8,1,0
76,2017-01-11,2017-01-11 07:51:52.836000000 America/New_York,ESH7,2814257,1304523
77,2017-01-11,2017-01-11 07:51:52.840000000 America/New_York,ESM7,17707,1182
78,2017-01-11,2017-01-11 07:51:52.843000000 America/New_York,ESU7,148,10
79,2017-01-11,2017-01-11 07:51:52.846000000 America/New_York,ESZ7,71,1
80,2017-01-11,2017-01-11 07:51:52.850000000 America/New_York,ESH8,1,0
81,2017-01-11,2017-01-11 09:44:40.911000000 America/New_York,ESH7,2813855,1304523
82,2017-01-11,2017-01-11 09:44:40.915000000 America/New_York,ESM7,17707,1182
83,2017-01-11,2017-01-11 09:44:40.918000000 America/New_York,ESU7,148,10
84,2017-01-11,2017-01-11 09:44:40.921000000 America/New_York,ESZ7,71,1
85,2017-01-11,2017-01-11 09:44:40.925000000 America/New_York,ESH8,1,0
86,2017-01-12,2017-01-12 02:06:46.764000000 America/New_York,ESH7,2812785,1733727
87,2017-01-12,2017-01-12 02:06:46.767000000 America/New_York,ESM7,17942,1769
88,2017-01-12,2017-01-12 02:06:46.771000000 America/New_York,ESU7,151,19
