ref_month,dt,release,time_et,actual,consensus_median,surprise_sd,ff_futures_delta_bp,path_2y_bp,source_actual,status
2017-01,,CPI,08:30,0.4,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-01,,CPICORE,08:30,0.22,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-01,,NFP,08:30,,,,,,,needs_dt;needs_actual
2017-02,,CPI,08:30,0.16,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-02,,CPICORE,08:30,0.21,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-02,2017-02-01,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2017-02,,NFP,08:30,,,,,,,needs_dt;needs_actual
2017-03,,CPI,08:30,-0.05,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-03,,CPICORE,08:30,-0.02,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-03,2017-03-15,FOMC,14:00,25,,,,,hardcoded_record,dt_final
2017-03,,NFP,08:30,,,,,,,needs_dt;needs_actual
2017-04,,CPI,08:30,0.12,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-04,,CPICORE,08:30,0.11,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-04,,NFP,08:30,,,,,,,needs_dt;needs_actual
2017-05,,CPI,08:30,-0.08,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-05,,CPICORE,08:30,0.08,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-05,2017-05-03,FOMC,14:00,0,,,,,hardcoded_record,dt_final
2017-05,,NFP,08:30,,,,,,,needs_dt;needs_actual
2017-06,,CPI,08:30,0.07,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-06,,CPICORE,08:30,0.13,,,,,bls_pkg_2.0.10_revised,needs_dt
2017-06,2017-06-14,FOMC,14:00,25,,,,,hardcoded_record,dt_final
2017-06,,NFP,08:30,,,,,,,needs_dt;needs_actual
2017-07,,CPI,08:30,0.03,,,,,bls_pkg_2.0.10_revised,needs_dt
